Tiempo;Lux;;;;
34,79494549;829,51;;;;
34,84805028;849,5;;;;
34,89476283;811,41;;;;
34,94540906;811,41;;;;
34,99408845;804,83;;;;
35,04325955;804,83;;;;
35,09193894;804,83;;;;
35,14258517;804,83;;;;
35,19077285;804,83;;;;
35,24141908;804,83;;;;
35,28763992;804,83;;;;
35,33926957;804,83;;;;
35,38696554;804,83;;;;
35,43712006;804,83;;;;
35,48530774;804,83;;;;
35,53447884;804,83;;;;
35,58315823;804,83;;;;
35,63429617;804,83;;;;
35,68150043;804,83;;;;
35,73263837;804,83;;;;
35,77935092;804,83;;;;
35,83196399;804,83;;;;
35,88015167;804,83;;;;
35,92833935;804,83;;;;
35,97701874;804,83;;;;
36,02668155;804,83;;;;
36,07536094;804,83;;;;
36,12649888;804,83;;;;
36,17370314;804,83;;;;
36,22434937;804,83;;;;
36,26860336;804,83;;;;
36,32318328;804,83;;;;
36,37137096;804,83;;;;
36,42103377;804,83;;;;
36,4672546;804,83;;;;
36,51839255;804,83;;;;
36,56805536;804,83;;;;
36,61771817;804,83;;;;
36,66443072;804,83;;;;
36,71606037;804,83;;;;
36,76031436;804,83;;;;
36,81440257;804,83;;;;
36,86160683;804,83;;;;
36,91176135;804,83;;;;
36,95699876;804,83;;;;
37,01059526;804,83;;;;
37,05779952;804,83;;;;
37,10942917;804,83;;;;
37,15712514;804,83;;;;
37,20777137;804,83;;;;
37,2539922;804,83;;;;
37,30562186;804,83;;;;
37,35331783;804,83;;;;
37,40445577;804,83;;;;
37,44821805;804,83;;;;
37,50083113;804,83;;;;
37,55246078;804,83;;;;
37,60064846;804,83;;;;
37,64981956;804,83;;;;
37,69899066;804,83;;;;
37,74668663;804,83;;;;
37,79733286;804,83;;;;
37,84502883;804,83;;;;
37,89616677;804,83;;;;
37,94435445;804,83;;;;
37,99205042;804,83;;;;
38,04269665;804,83;;;;
38,09235946;804,83;;;;
38,14103885;804,83;;;;
38,19119337;804,83;;;;
38,23839763;804,83;;;;
38,28904386;804,83;;;;
38,33821496;804,83;;;;
38,38689435;804,83;;;;
38,43606545;804,83;;;;
38,48474484;804,83;;;;
38,53489936;811,41;;;;
38,58308704;804,83;;;;
38,63225814;804,83;;;;
