time,lux
430.242,1653.13
430.339,1688.82
430.437,1720.87
430.541,1735.95
430.629,1735.95
430.744,1735.95
430.841,1735.95
430.940,1735.95
431.038,1735.95
431.140,1735.95
431.236,1735.95
431.341,1735.95
431.441,1735.95
431.542,1735.95
431.627,1735.95
431.744,1731.78
431.833,1735.95
431.941,1735.95
432.039,1735.95
432.134,1731.78
432.239,1735.95
432.340,1735.95
432.437,1735.95
432.540,1731.78
432.628,1735.95
432.742,1735.95
432.839,1735.95
432.940,1735.95
433.034,1731.78
433.132,1735.95
433.239,1735.95
433.339,1735.95
433.434,1735.95
433.541,1735.95
433.626,1735.95
433.744,1735.95
433.832,1731.78
433.940,1731.78
434.037,1735.95
434.133,1731.78
434.233,1735.95
434.336,1735.95
434.442,1735.95
434.538,1735.95
434.627,1735.95
434.744,1735.95
434.838,1735.95
434.939,1731.78
435.033,1735.95
435.132,1735.95
435.237,1735.95
435.339,1735.95
435.432,1735.95
435.540,1772.81
435.626,1805.91
435.742,1805.91
435.837,1832.39
435.937,1843.76
436.034,1843.76
436.135,1843.76
436.232,1843.76
436.339,1843.76
436.436,1843.76
436.539,1843.76
436.628,1843.76
436.742,1843.76
436.837,1843.76
436.937,1843.76
437.038,1843.76
437.137,1843.76
437.230,1843.76
437.339,1843.76
437.436,1843.76
437.538,1843.76
437.627,1843.76
437.742,1843.76
437.837,1843.76
437.940,1843.76
438.034,1843.76
438.135,1843.76
438.236,1843.76
438.341,1843.76
438.435,1843.76
438.540,1843.76
438.628,1843.76
438.743,1843.76
438.838,1843.76
438.939,1843.76
439.037,1843.76
439.135,1843.76
439.234,1843.76
439.338,1843.76
439.434,1843.76
439.537,1843.76
439.625,1843.76
439.736,1843.76
439.842,1843.76
439.937,1843.76
440.037,1843.76
440.137,1843.76
440.234,1870.61
440.337,1882.14
440.434,1921.04
440.538,1921.04
440.625,1921.04
440.742,1921.04
440.833,1921.04
440.940,1921.04
441.038,1921.04
441.130,1921.04
441.242,1921.04
441.337,1921.04
441.432,1921.04
441.539,1921.04
441.624,1921.04
441.736,1921.04
441.842,1921.04
441.936,1921.04
442.030,1921.04
442.134,1921.04
442.236,1921.04
442.337,1921.04
442.435,1921.04
442.537,1921.04
442.626,1921.04
442.739,1921.04
442.835,1921.04
442.936,1921.04
443.031,1921.04
443.138,1921.04
443.229,1921.04
443.339,1921.04
443.427,1921.04
443.540,1921.04
443.624,1921.04
443.741,1921.04
443.836,1921.04
443.936,1921.04
444.034,1921.04
444.131,1921.04
444.233,1921.04
444.338,1921.04
444.431,1921.04
444.537,1921.04
444.626,1921.04
444.741,1921.04
444.834,1921.04
444.936,1921.04
445.029,1921.04
445.137,1921.04
445.232,1921.04
445.338,1921.04
445.428,1921.04
445.539,1921.04
445.624,1921.04
445.740,1960.47
445.832,1995.86
445.935,2000.45
446.031,2036.31
446.133,2040.96
446.232,2064.99
446.336,2064.99
446.434,2077.30
446.536,2064.99
446.623,2064.99
446.741,2077.30
446.833,2064.99
446.932,2077.30
447.029,2064.99
447.131,2064.99
447.232,2064.99
447.334,2064.99
447.435,2077.30
447.535,2077.30
447.628,2077.30
447.738,2064.99
447.833,2064.99
447.937,2077.30
448.029,2064.99
448.132,2077.30
448.233,2064.99
448.336,2064.99
448.429,2077.30
448.534,2064.99
448.623,2077.30
448.737,2077.30
448.830,2077.30
448.933,2077.30
449.030,2064.99
449.130,2077.30
449.232,2077.30
449.335,2064.99
449.431,2077.30
449.533,2077.30
449.625,2077.30
449.738,2077.30
449.826,2077.30
449.937,2077.30
450.030,2077.30
450.128,2064.99
450.235,2077.30
450.333,2077.30
450.427,2082.01
450.535,2082.01
450.624,2082.01
450.735,2082.01
450.825,2082.01
450.937,2082.01
451.027,2082.01
451.133,2082.01
451.232,2082.01
451.334,2082.01
451.429,2082.01
451.533,2082.01
451.623,2082.01
451.735,2082.01
451.831,2082.01
451.934,2082.01
452.032,2082.01
452.126,2082.01
452.233,2082.01
452.334,2082.01
452.431,2082.01
452.534,2082.01
452.622,2082.01
452.735,2082.01
452.832,2082.01
452.933,2082.01
453.032,2082.01
453.128,2082.01
453.230,2082.01
453.334,2082.01
453.430,2082.01
453.534,2082.01
453.626,2082.01
453.735,2082.01
453.830,2082.01
453.933,2082.01
454.030,2082.01
454.131,2082.01
454.229,2082.01
454.335,2082.01
454.431,2082.01
454.534,2082.01
454.622,2082.01
454.736,2082.01
454.831,2082.01
454.933,2082.01
455.022,2082.01
455.130,2082.01
455.227,2082.01
455.334,2082.01
455.428,2082.01
455.535,2082.01
455.626,2082.01
455.736,2082.01
455.832,2106.37
455.932,2106.37
456.027,2106.37
456.133,2106.37
456.227,2106.37
456.334,2106.37
456.429,2106.37
456.533,2106.37
456.623,2106.37
456.734,2106.37
456.823,2106.37
456.933,2106.37
457.028,2106.37
457.129,2106.37
457.228,2106.37
457.333,2106.37
457.430,2106.37
457.532,2106.37
457.624,2106.37
457.728,2106.37
457.831,2106.37
457.932,2106.37
458.028,2106.37
458.132,2106.37
458.231,2106.37
458.332,2106.37
458.424,2106.37
458.534,2106.37
458.622,2106.37
458.735,2106.37
458.829,2106.37
458.932,2106.37
459.026,2106.37
459.127,2106.37
459.227,2106.37
459.331,2106.37
459.429,2106.37
459.534,2106.37
459.622,2106.37
459.735,2106.37
459.829,2106.37
459.932,2106.37
460.029,2106.37
460.125,2106.37
460.232,2106.37
460.331,2082.01
460.420,2082.01
460.534,2082.01
460.619,2077.30
460.732,2077.30
460.831,2077.30
460.930,2077.30
461.030,2077.30
461.125,2077.30
461.228,2077.30
461.332,2077.30
461.429,2077.30
461.531,2077.30
461.625,2077.30
461.732,2077.30
461.829,2077.30
461.930,2077.30
462.025,2077.30
462.133,2077.30
462.229,2077.30
462.330,2077.30
462.428,2077.30
462.530,2077.30
462.619,2077.30
462.728,2077.30
462.832,2077.30
462.931,2077.30
463.029,2077.30
463.127,2077.30
463.227,2077.30
463.331,2077.30
463.423,2077.30
463.531,2077.30
463.620,2077.30
463.734,2077.30
463.830,2077.30
463.931,2077.30
464.030,2077.30
464.125,2077.30
464.222,2077.30
464.332,2077.30
464.424,2077.30
464.532,2077.30
464.622,2077.30
464.732,2077.30
464.825,2077.30
464.929,2077.30
465.030,2077.30
465.130,2077.30
465.230,2077.30
465.330,2077.30
465.423,2077.30
465.531,2077.30
465.623,2064.99
465.731,2064.99
465.829,2040.96
465.927,2036.31
466.026,2036.31
466.123,2024.16
466.223,2024.16
466.330,2024.16
466.425,2024.16
466.530,2024.16
466.624,2024.16
466.730,2024.16
466.828,2024.16
466.929,2024.16
467.029,2024.16
467.123,2024.16
467.229,2024.16
467.330,2024.16
467.424,2024.16
467.531,2024.16
467.617,2024.16
467.732,2024.16
467.829,2024.16
467.929,2000.45
468.026,2024.16
468.127,2024.16
468.230,2024.16
468.330,2024.16
468.428,2024.16
468.530,2024.16
468.616,2024.16
468.733,2024.16
468.827,2024.16
468.930,2024.16
469.033,2024.16
469.124,2024.16
469.224,2024.16
469.331,2024.16
469.428,2024.16
469.531,2024.16
469.622,2024.16
469.732,2024.16
469.825,2024.16
469.924,2024.16
470.033,2024.16
470.122,2024.16
470.231,2024.16
470.330,2024.16
470.424,2024.16
470.531,2024.16
470.622,2024.16
470.734,2024.16
470.830,2000.45
470.930,1960.47
471.027,1948.63
471.123,1948.63
471.231,1948.63
471.329,1944.12
471.427,1944.12
471.530,1948.63
471.618,1948.63
471.731,1948.63
471.829,1948.63
471.930,1948.63
472.030,1948.63
472.124,1948.63
472.230,1944.12
472.329,1948.63
472.427,1944.12
472.529,1948.63
472.615,1944.12
472.731,1944.12
472.820,1944.12
472.931,1944.12
473.025,1944.12
473.126,1944.12
473.232,1921.04
473.328,1921.04
473.426,1944.12
473.528,1921.04
473.616,1921.04
473.732,1921.04
473.824,1944.12
473.928,1921.04
474.026,1921.04
474.125,1921.04
474.228,1921.04
474.329,1921.04
474.426,1921.04
474.530,1921.04
474.615,1921.04
474.730,1948.63
474.818,1944.12
474.929,1944.12
475.022,1948.63
475.126,1948.63
475.219,1944.12
475.330,1921.04
475.425,1921.04
475.530,1882.14
475.621,1866.22
475.728,1843.76
475.821,1832.39
475.928,1794.70
476.027,1790.43
476.119,1790.43
476.231,1790.43
476.327,1790.43
476.424,1790.43
476.528,1768.59
476.616,1768.59
476.730,1768.59
476.822,1768.59
476.929,1790.43
477.024,1768.59
477.126,1768.59
477.220,1768.59
477.333,1790.43
477.424,1790.43
477.528,1790.43
477.616,1768.59
477.730,1768.59
477.822,1768.59
477.929,1790.43
478.023,1768.59
478.119,1768.59
478.231,1768.59
478.326,1790.43
478.415,1790.43
478.529,1768.59
478.619,1790.43
478.727,1768.59
478.818,1768.59
478.928,1768.59
479.027,1768.59
479.119,1790.43
479.225,1768.59
479.325,1790.43
479.420,1790.43
479.526,1790.43
479.615,1790.43
479.728,1768.59
479.825,1768.59
479.925,1768.59
480.021,1790.43
480.122,1790.43
480.217,1790.43
480.326,1790.43
480.419,1768.59
480.526,1757.53
480.620,1731.78
480.726,1720.87
480.822,1695.48
480.926,1684.73
481.018,1659.70
481.122,1659.70
481.225,1663.75
481.325,1649.10
481.419,1649.10
481.526,1659.70
481.618,1659.70
481.727,1649.10
481.818,1659.70
481.925,1649.10
482.022,1649.10
482.117,1649.10
482.221,1649.10
482.327,1649.10
482.420,1649.10
482.527,1659.70
482.615,1659.70
482.728,1659.70
482.818,1649.10
482.924,1649.10
483.022,1649.10
483.124,1649.10
483.224,1649.10
483.325,1649.10
483.422,1659.70
483.524,1649.10
483.618,1649.10
483.726,1649.10
483.819,1649.10
483.926,1649.10
484.024,1649.10
484.124,1649.10
484.224,1649.10
484.325,1649.10
484.418,1649.10
484.525,1649.10
484.615,1649.10
484.726,1649.10
484.818,1649.10
484.925,1649.10
485.017,1649.10
485.122,1649.10
485.218,1649.10
485.326,1649.10
485.419,1649.10
485.525,1649.10
485.617,1649.10
485.725,1649.10
485.817,1649.10
485.924,1649.10
486.019,1649.10
486.122,1628.41
486.219,1613.97
486.325,1579.34
486.415,1549.08
486.524,1545.22
486.616,1535.11
486.723,1535.11
486.823,1515.40
486.922,1515.40
487.012,1515.40
487.123,1515.40
487.214,1515.40
487.325,1515.40
487.416,1515.40
487.525,1515.40
487.614,1515.40
487.725,1515.40
487.823,1515.40
487.925,1515.40
488.021,1515.40
488.118,1515.40
488.218,1515.40
488.325,1515.40
488.414,1515.40
488.524,1515.40
488.617,1515.40
488.724,1515.40
488.817,1515.40
488.924,1515.40
489.017,1515.40
489.120,1515.40
489.213,1515.40
489.326,1515.40
489.420,1515.40
489.525,1515.40
489.616,1515.40
489.724,1515.40
489.821,1515.40
489.924,1515.40
490.018,1515.40
490.121,1515.40
490.225,1515.40
490.323,1515.40
490.422,1515.40
490.524,1515.40
490.623,1515.40
490.723,1515.40
490.824,1515.40
490.923,1511.59
491.021,1501.63
491.122,1478.45
491.225,1449.50
491.321,1436.13
491.421,1407.73
491.522,1407.73
491.624,1385.54
491.722,1404.11
491.822,1376.14
491.922,1385.54
492.021,1407.73
492.120,1407.73
492.224,1407.73
492.322,1407.73
492.423,1407.73
492.522,1407.73
492.623,1407.73
492.722,1407.73
492.823,1407.73
492.921,1407.73
493.023,1407.73
493.122,1407.73
493.222,1407.73
493.323,1407.73
493.422,1407.73
493.522,1407.73
493.622,1407.73
493.723,1407.73
493.823,1407.73
493.921,1407.73
494.023,1407.73
494.122,1407.73
494.223,1407.73
494.322,1407.73
494.421,1407.73
494.521,1407.73
494.622,1407.73
494.723,1407.73
494.822,1407.73
494.921,1407.73
495.021,1407.73
495.117,1407.73
495.224,1407.73
495.322,1407.73
495.422,1407.73
495.522,1407.73
495.622,1407.73
495.721,1407.73
495.821,1345.02
495.922,1317.84
496.021,1314.37
496.121,1284.19
496.221,1257.84
496.322,1245.68
496.421,1245.68
496.523,1245.68
496.623,1275.26
496.721,1287.61
496.822,1278.66
496.921,1278.66
497.021,1278.66
497.122,1287.61
497.223,1287.61
497.321,1278.66
497.421,1278.66
497.521,1287.61
497.624,1287.61
497.721,1278.66
497.824,1287.61
497.919,1278.66
498.024,1278.66
498.121,1275.26
498.222,1278.66
498.320,1278.66
498.421,1287.61
498.521,1278.66
498.623,1278.66
498.716,1278.66
498.827,1278.66
498.920,1278.66
499.022,1278.66
499.122,1278.66
499.224,1278.66
499.321,1278.66
499.421,1278.66
499.522,1278.66
499.622,1278.66
499.722,1278.66
499.822,1278.66
499.921,1278.66
500.024,1278.66
500.115,1245.68
500.226,1199.69
500.319,1191.15
500.419,1162.90
500.522,1135.09
500.619,1135.09
500.722,1107.74
500.820,1080.82
500.921,1083.87
501.021,1099.64
501.121,1099.64
501.221,1099.64
501.321,1099.64
501.420,1099.64
501.522,1099.64
501.623,1099.64
501.722,1083.87
501.822,1083.87
501.921,1083.87
502.021,1099.64
502.121,1099.64
502.221,1083.87
502.318,1099.64
502.421,1083.87
502.520,1083.87
502.622,1099.64
502.720,1099.64
502.821,1099.64
502.921,1083.87
503.021,1099.64
503.119,1099.64
503.222,1099.64
503.320,1099.64
503.420,1099.64
503.519,1099.64
503.621,1099.64
503.719,1083.87
503.820,1083.87
503.922,1083.87
504.021,1083.87
504.121,1083.87
504.221,1083.87
504.320,1083.87
504.421,1083.87
504.521,1083.87
504.620,1083.87
504.719,1083.87
504.819,1083.87
504.921,1083.87
505.020,1083.87
505.119,1083.87
505.220,1083.87
505.320,1083.87
505.419,1083.87
505.519,1083.87
505.620,1083.87
505.720,1083.87
505.819,1083.87
505.921,1099.64
506.020,1083.87
506.120,1028.31
506.219,980.37
506.319,970.08
506.419,931.19
506.519,876.72
506.619,900.15
506.720,879.37
506.817,900.15
506.918,900.15
507.022,900.15
507.118,900.15
507.220,900.15
507.320,900.15
507.418,900.15
507.521,900.15
507.620,900.15
507.719,900.15
507.819,900.15
507.920,900.15
508.020,900.15
508.119,900.15
508.219,900.15
508.320,900.15
508.419,900.15
508.519,900.15
508.620,900.15
508.720,900.15
508.820,900.15
508.920,900.15
509.018,900.15
509.120,900.15
509.219,900.15
509.319,900.15
509.415,900.15
509.521,900.15
509.619,900.15
509.720,900.15
509.818,900.15
509.919,900.15
510.021,876.72
510.118,831.10
510.220,787.09
510.319,802.34
510.418,789.56
510.517,804.83
510.620,824.42
510.717,811.41
510.818,811.41
510.920,824.42
511.018,811.41
511.118,824.42
511.220,804.83
511.317,804.83
511.418,811.41
511.518,811.41
511.618,804.83
511.718,804.83
511.818,804.83
511.917,804.83
512.021,804.83
512.118,804.83
512.217,804.83
512.317,824.42
512.416,811.41
512.518,804.83
512.617,824.42
512.717,804.83
512.818,804.83
512.918,804.83
513.016,804.83
513.118,811.41
513.218,804.83
513.317,804.83
513.417,804.83
513.518,811.41
513.617,811.41
513.712,804.83
513.812,804.83
513.909,811.41
514.011,824.42
514.125,811.41
514.213,811.41
514.317,811.41
514.415,804.83
514.512,804.83
514.617,804.83
514.717,811.41
514.813,804.83
514.917,783.10
515.016,747.04
515.116,720.26
515.214,732.28
515.317,740.82
515.416,740.82
515.516,694.13
515.615,732.28
515.716,734.63
515.816,734.63
515.916,734.63
516.018,734.63
516.116,734.63
516.216,734.63
516.316,734.63
516.416,734.63
516.517,734.63
516.616,734.63
516.716,734.63
516.816,734.63
516.917,734.63
517.016,734.63
517.117,734.63
517.220,734.63
517.317,734.63
517.416,734.63
517.516,734.63
517.617,734.63
517.715,734.63
517.817,734.63
517.916,734.63
518.016,734.63
518.115,734.63
518.217,734.63
518.316,734.63
518.417,734.63
518.515,734.63
518.616,734.63
518.716,734.63
518.819,734.63
518.916,734.63
519.016,734.63
519.116,734.63
519.217,734.63
519.316,734.63
519.415,734.63
519.517,734.63
519.618,734.63
519.715,734.63
519.815,734.63
519.916,734.63
520.015,734.63
520.116,734.63
520.218,734.63
520.316,734.63
520.415,734.63
520.516,734.63
520.616,734.63
520.714,734.63
520.816,652.96
520.914,691.86
521.017,650.79
521.114,678.06
521.217,678.06
521.316,637.54
521.414,658.68
521.515,664.44
521.614,624.47
521.716,637.54
521.815,637.54
521.915,643.17
522.014,643.17
522.114,643.17
522.215,637.54
522.315,643.17
522.414,643.17
522.515,637.54
522.616,643.17
522.713,643.17
522.815,643.17
522.915,643.17
523.016,643.17
523.115,643.17
523.216,643.17
523.314,643.17
523.415,643.17
523.514,637.54
523.614,637.54
523.716,643.17
523.814,643.17
523.915,643.17
524.015,637.54
524.114,637.54
524.215,637.54
524.315,637.54
524.414,637.54
524.515,637.54
524.617,637.54
524.713,637.54
524.814,637.54
524.916,637.54
525.016,637.54
525.114,637.54
525.215,637.54
525.314,539.48
